,cards,free,games,goals,name,points,position,team,value
0,3.0,False,34.0,36.0,Messi,428.0,Forward,Barcelona,"22,840,000"
1,0.0,True,0.0,0.0,Hazard,0.0,Forward,Real Madrid,"16,220,000"
2,5.0,False,27.0,20.0,Iago Aspas,246.0,Forward,Celta,"14,680,000"
3,5.0,True,33.0,21.0,Luis Suárez,262.0,Forward,Barcelona,"11,570,000"
4,6.0,True,36.0,9.0,Parejo,255.0,Midfielder,Valencia,"11,420,000"
5,5.0,True,37.0,15.0,Griezmann,244.0,Forward,Barcelona,"11,130,000"
6,1.0,True,36.0,21.0,Benzema,263.0,Forward,Real Madrid,"10,750,000"
7,5.0,False,37.0,17.0,Borja Iglesias,239.0,Forward,Espanyol,"9,760,000"
8,7.0,True,37.0,12.0,Morales,221.0,Midfielder,Levante,"9,570,000"
9,6.0,True,35.0,4.0,Piqué,227.0,Defender,Barcelona,"8,410,000"
10,2.0,True,37.0,13.0,Oyarzabal,210.0,Forward,Real Sociedad,"8,380,000"
11,0.0,True,0.0,0.0,Luka Jović,0.0,Forward,Real Madrid,"8,360,000"
12,4.0,True,35.0,18.0,Ben Yedder,246.0,Forward,Sevilla,"8,340,000"
13,2.0,True,25.0,5.0,Guedes,144.0,Midfielder,Valencia,"8,000,000"
14,5.0,False,33.0,8.0,Rodrigo,188.0,Forward,Valencia,"7,890,000"
15,3.0,True,38.0,13.0,Williams,209.0,Forward,Athletic,"7,570,000"
16,0.0,False,18.0,2.0,Vinícius,87.0,Forward,Real Madrid,"7,380,000"
17,0.0,True,0.0,0.0,Frenkie de Jong,0.0,Midfielder,Barcelona,"7,100,000"
18,6.0,True,36.0,2.0,Jordi Alba,200.0,Defender,Barcelona,"6,940,000"
19,2.0,True,35.0,4.0,Cazorla,215.0,Midfielder,Villarreal,"6,890,000"
20,7.0,True,32.0,7.0,Canales,214.0,Midfielder,Betis,"6,730,000"
21,0.0,True,0.0,0.0,João Félix,0.0,Forward,Atlético,"6,720,000"
22,0.0,True,37.0,0.0,Oblak,196.0,Goalkeeper,Atlético,"6,640,000"
23,5.0,True,15.0,6.0,Morata,87.0,Forward,Atlético,"6,560,000"
24,6.0,True,35.0,13.0,Maxi Gómez,195.0,Forward,Valencia,"6,510,000"
25,10.0,True,34.0,14.0,Jaime Mata,209.0,Forward,Getafe,"6,500,000"
26,2.0,True,38.0,14.0,Jorge Molina,244.0,Forward,Getafe,"6,410,000"
27,8.0,True,32.0,1.0,Jesús Navas,193.0,Defender,Sevilla,"6,410,000"
28,6.0,True,34.0,3.0,Modric,163.0,Midfielder,Real Madrid,"6,030,000"
29,5.0,True,32.0,9.0,Lo Celso,184.0,Midfielder,Betis,"5,850,000"
30,7.0,True,32.0,3.0,Hermoso,178.0,Defender,Atlético,"5,660,000"
31,7.0,True,34.0,3.0,Rakitic,195.0,Midfielder,Barcelona,"5,550,000"
32,0.0,True,0.0,0.0,Nabil Fekir,0.0,Midfielder,Betis,"5,400,000"
33,3.0,False,34.0,9.0,Portu,166.0,Forward,Real Sociedad,"5,260,000"
34,7.0,True,28.0,6.0,Sergio Ramos,151.0,Defender,Real Madrid,"5,200,000"
35,2.0,True,26.0,5.0,Chukwueze,138.0,Midfielder,Villarreal,"5,160,000"
36,6.0,True,31.0,11.0,Willian José,165.0,Forward,Real Sociedad,"5,080,000"
37,0.0,False,35.0,0.0,Ter Stegen,167.0,Goalkeeper,Barcelona,"4,870,000"
38,13.0,True,33.0,9.0,Raúl García,178.0,Midfielder,Athletic,"4,810,000"
39,10.0,True,30.0,3.0,Koke,166.0,Midfielder,Atlético,"4,730,000"
40,4.0,True,19.0,5.0,Enric Gallego,106.0,Forward,Getafe,"4,670,000"
41,10.0,True,36.0,4.0,Jordan,201.0,Midfielder,Sevilla,"4,660,000"
42,10.0,True,35.0,1.0,Gayà,169.0,Defender,Valencia,"4,570,000"
43,12.0,True,34.0,10.0,Ezequiel Ávila,179.0,Forward,Osasuna,"4,410,000"
44,,False,,,James Rodríguez,,Midfielder,Real Madrid,"4,260,000"
45,12.0,True,36.0,4.0,Campaña,194.0,Midfielder,Levante,"4,200,000"
46,2.0,True,27.0,0.0,Courtois,114.0,Goalkeeper,Real Madrid,"4,150,000"
47,7.0,True,34.0,7.0,Muniain,162.0,Midfielder,Athletic,"4,120,000"
48,10.0,True,24.0,1.0,Carvajal,127.0,Defender,Real Madrid,"4,070,000"
49,1.0,False,29.0,8.0,Dembélé,179.0,Forward,Barcelona,"4,060,000"
