;defender_points;defender_values;defenders;forward_points;forward_values;forwards;goalkeeper_points;goalkeeper_values;goalkeepers;midfielder_points;midfielder_values;midfielders;total_points;total_value
0;[169.0, 166.0, 112.0, 95.0];[4540000, 2240000, 1300000, 850000];['Gayà', 'Nacho Martínez', 'Zaldua', 'De Marcos'];[428.0, 246.0, 87.0];[22790000, 8320000, 220000];['Messi', 'Ben Yedder', 'Sobrino'];[70.0];[1260000];['Aitor Fernández'];[215.0, 173.0, 164.0, 125.0, 82.0, 65.0];[6860000, 3570000, 3080000, 1570000, 240000, 160000];['Cazorla', 'Marc Roca', 'Coutinho', 'Tomás Pina', 'Medrán', 'Hernán Pérez'];2197.0;57000000
1;[127.0, 170.0, 141.0, 82.0];[4020000, 3330000, 1450000, 720000];['Carvajal', 'Laguardia', 'Araujo', 'Capa'];[244.0, 210.0, 179.0];[11150000, 8310000, 4670000];['Griezmann', 'Oyarzabal', 'Ezequiel Ávila'];[196.0];[6480000];['Oblak'];[201.0, 173.0, 140.0, 93.0, 109.0, 149.0];[4620000, 3570000, 3250000, 3050000, 1130000, 380000];['Jordan', 'Marc Roca', 'Cucurella', 'Kondogbia', 'Toni Villa', 'Moi Gómez'];2214.0;56130000
2;[200.0, 178.0, 130.0, 133.0];[6880000, 5620000, 2800000, 1840000];['Jordi Alba', 'Hermoso', 'Bartra', 'Funes Mori'];[244.0, 209.0, 157.0];[11150000, 7540000, 3440000];['Griezmann', 'Williams', 'Gerard Moreno'];[106.0];[2220000];['Dmitrovic'];[162.0, 171.0, 127.0, 176.0, 75.0, 119.0];[4120000, 3780000, 3430000, 3210000, 1130000, 610000];['Muniain', 'Darder', 'Carlos Soler', 'Alcaraz', 'Melero', 'Manu García'];2187.0;57770000
3;[170.0, 122.0, 179.0, 143.0];[3330000, 3240000, 3200000, 1990000];['Laguardia', 'Varane', 'Cote', 'Miramón'];[244.0, 246.0, 188.0];[11150000, 8320000, 7850000];['Griezmann', 'Ben Yedder', 'Rodrigo'];[173.0];[3610000];['Pacheco'];[184.0, 154.0, 164.0, 118.0, 83.0, 82.0];[6330000, 3420000, 3080000, 3000000, 210000, 170000];['Lo Celso', 'Saúl', 'Coutinho', 'Lemar', 'Vesga', 'San José'];2250.0;58900000
4;[158.0, 148.0, 136.0, 67.0];[2980000, 2240000, 1670000, 460000];['Siovas', 'Yuri', 'Kiko Olivas', 'Nacho'];[428.0, 185.0, 114.0];[22790000, 2500000, 1010000];['Messi', 'Charles', 'Correa'];[196.0];[6480000];['Oblak'];[173.0, 164.0, 129.0, 137.0, 125.0, 80.0];[3570000, 3080000, 3020000, 2670000, 1570000, 1270000];['Marc Roca', 'Coutinho', 'Mikel Merino', 'Franco Vázquez', 'Tomás Pina', 'Trigueros'];2240.0;55310000
5;[170.0, 158.0, 114.0, 93.0];[3330000, 2340000, 750000, 450000];['Laguardia', 'Mandi', 'Rubén Duarte', 'David López'];[428.0, 244.0, 169.0];[22790000, 6560000, 3520000];['Messi', 'Jorge Molina', 'Ekambi'];[173.0];[3610000];['Pacheco'];[201.0, 138.0, 150.0, 175.0, 148.0, 82.0];[4620000, 3590000, 3230000, 2590000, 2320000, 240000];['Jordan', 'Kroos', 'Melendo', 'Joaquín', 'Óscar Rodríguez', 'Medrán'];2443.0;59940000
6;[200.0, 174.0, 94.0, 113.0];[6880000, 2440000, 1800000, 920000];['Jordi Alba', 'Rubén Peña', 'Diego Llorente', 'Jason'];[262.0, 244.0, 165.0];[11740000, 6560000, 5000000];['Luis Suárez', 'Jorge Molina', 'Willian José'];[128.0];[3030000];['Vaclík'];[163.0, 201.0, 149.0, 127.0, 108.0, 101.0];[5930000, 4620000, 3440000, 1460000, 1300000, 580000];['Modric', 'Jordan', 'Busquets', 'Rubén Pérez', 'Lobotka', 'Portillo'];2229.0;55700000
7;[154.0, 143.0, 112.0, 78.0];[3130000, 1990000, 1300000, 180000];['Hugo Mallo', 'Miramón', 'Zaldua', 'Rodrigo Tarín'];[428.0, 244.0, 172.0];[22790000, 11150000, 3110000];['Messi', 'Griezmann', 'Sergi Enrich'];[117.0];[1990000];['Rulli'];[140.0, 152.0, 175.0, 138.0, 149.0, 87.0];[2880000, 2650000, 2590000, 2130000, 380000, 330000];['Rochina', 'Thomas', 'Joaquín', 'Arambarri', 'Moi Gómez', 'Zurutuza'];2289.0;56600000
8;[178.0, 153.0, 158.0, 150.0];[5620000, 2690000, 2340000, 1890000];['Hermoso', 'Cabrera', 'Mandi', 'Jonathan Silva'];[209.0, 126.0, 140.0];[6440000, 1840000, 1190000];['Jaime Mata', 'Bale', 'Óscar Plano'];[173.0];[3610000];['Pacheco'];[184.0, 166.0, 201.0, 117.0, 175.0, 104.0];[6330000, 4720000, 4620000, 2810000, 2590000, 300000];['Lo Celso', 'Koke', 'Jordan', 'Banega', 'Joaquín', 'Wakaso'];2234.0;46990000
9;[158.0, 133.0, 93.0, 73.0];[2340000, 1480000, 450000, 200000];['Mandi', 'Maripán', 'David López', 'Víctor Ruiz'];[428.0, 246.0, 165.0];[22790000, 8320000, 5000000];['Messi', 'Ben Yedder', 'Willian José'];[94.0];[1290000];['Herrerín'];[201.0, 171.0, 150.0, 125.0, 119.0, 109.0];[4620000, 3780000, 3230000, 1570000, 1140000, 750000];['Jordan', 'Darder', 'Melendo', 'Tomás Pina', 'Zubeldia', 'Cheryshev'];2265.0;56960000
