,name,team,position,value,rounds,points
0,Benzema,Real Madrid,Forward,"22,700,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R10', 'R18']","['15', '13', '5', '18', '14', '', '2', '7', '7', '15', '7', '17', '15', '3', '10', '11', '6', '5']"
1,Messi,Barcelona,Forward,"29,390,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R10', 'R18']","['Injured', 'Injured', 'Injured', 'Injured', '5', '6', 'Injured', '13', '13', '19', '7', '21', '10', '14', '21', '7', '7', '12']"
2,Ødegaard,Real Sociedad,Midfielder,"17,610,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['6', '14', '2', '13', '7', '11', '6', '2', '9', '8', '4', 'Injured', 'Injured', '7', '16', '5', '8', '14']"
3,Gerard Moreno,Villarreal,Forward,"17,310,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['9', '10', '10', '17', '6', '2', '13', '4', '9', '15', '9', '5', '7', '5', '', '6', '5', '3']"
4,Oyarzabal,Real Sociedad,Forward,"16,630,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['9', '5', '2', '7', '7', '18', '9', '2', '7', '6', '4', '7', '5', '4', '9', '7', '10', '10']"
5,Luis Suárez,Barcelona,Forward,"19,540,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R10', 'R18']","['2', 'Injured', 'Injured', '17', '0', '1', '12', '11', '12', '10', '1', '3', '9', '4', '14', '14', '1', '13']"
6,Ezequiel Ávila,Osasuna,Forward,"10,000,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['10', '5', '4', '7', '3', '2', '3', '13', '4', '6', '0', '15', 'Suspended', '10', '12', '9', '3', '15']"
7,Cazorla,Villarreal,Midfielder,"16,370,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['14', '8', '4', '7', '11', '14', '14', '5', '5', '11', '3', '8', '9', '4', 'Injured', 'Injured', '', '3']"
8,Parejo,Valencia,Midfielder,"15,740,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['Suspended', '4', '17', '2', '10', '7', '5', '10', '13', '2', '7', '10', '7', '4', '2', '4', '7', '6']"
9,Banega,Sevilla,Midfielder,"10,290,000","['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R9', 'R10', 'R11', 'R12', 'R13', 'R14', 'R15', 'R16', 'R17', 'R18']","['Suspended', '4', '8', '6', '3', '5', '10', '5', '4', '5', '7', '7', '8', '11', '3', '11', '5', '13']"
