,player_name,money,date,origin_user,destination_user,value
0,Dani Rodríguez,"€2,667,100","12/23/19, 9:14 AM",Thomas Party,,2667100
1,Januzaj,"€1,277,100","12/23/19, 9:14 AM",Thomas Party,,1277100
2,Roque Mesa,"€1,435,500","12/23/19, 9:14 AM",Thomas Party,,1435500
3,Diego Llorente,"€2,424,700","12/23/19, 9:14 AM",Thomas Party,,2424700
4,Jordi Alba,"€6,280,590","12/23/19, 7:13 AM",,Santa Bàrbara,6280590
5,Sergi Roberto,"€3,820,000","12/22/19, 7:12 AM",,Thomas Party,3820000
6,Iñigo Martínez,"€5,315,000","12/22/19, 7:12 AM",,Thomas Party,5315000
7,Héctor Herrera,"€3,243,600","12/21/19, 7:13 AM",,Santa Bàrbara,3243600
8,Ter Stegen,"€5,780,030","12/21/19, 7:13 AM",,FC Datalona,5780030
9,Dani Rodríguez,"€2,800,000","12/20/19, 7:02 PM",Vetusta FC,Thomas Party,2800000
10,Saúl,"€5,560,000","12/20/19, 7:09 AM",,Vetusta FC,5560000
11,Franco Vázquez,"€3,485,400","12/19/19, 6:08 PM",Santa Bàrbara,,3485400
12,Reguilón,"€6,343,700","12/19/19, 3:17 PM",Santa Bàrbara,,6343700
13,Rodrigo,"€9,537,600","12/19/19, 11:34 AM",FC Datalona,,9537600
14,Vinícius,"€2,162,200","12/19/19, 8:45 AM",Santa Bàrbara,,2162200
15,Carlos Neva,"€710,005","12/19/19, 7:14 AM",,Camping Ballena Alegre,710005
16,Eraso,"€230,005","12/19/19, 7:14 AM",,Camping Ballena Alegre,230005
17,Nacho Martínez,"€1,371,200","12/18/19, 2:14 PM",Camping Ballena Alegre,,1371200
18,Januzaj,"€1,250,000","12/18/19, 7:09 AM",,Thomas Party,1250000
19,Rubén Duarte,"€2,176,200","12/17/19, 10:09 AM",Vetusta FC,,2176200
20,Sergio Herrera,"€480,000","12/17/19, 7:33 AM",,Thomas Party,480000
21,Jules Koundé,"€3,180,050","12/17/19, 7:33 AM",,Camping Ballena Alegre,3180050
22,En-Nesyri,"€3,620,030","12/17/19, 7:33 AM",,Camping Ballena Alegre,3620030
23,Jason,"€2,941,500","12/16/19, 2:10 PM",Thomas Party,,2941500
24,Kondogbia,"€1,451,600","12/16/19, 8:29 AM",Santa Bàrbara,,1451600
25,Rodrigo Ely,"€1,214,800","12/16/19, 8:10 AM",Thomas Party,,1214800
26,Moyano,"€643,600","12/16/19, 8:10 AM",Thomas Party,,643600
27,Thomas,"€4,682,300","12/16/19, 7:16 AM",Vetusta FC,,4682300
28,Sergio Ramos,"€10,510,110","12/16/19, 7:14 AM",,Santa Bàrbara,10510110
29,Lucas Olaza,"€2,600,100","12/16/19, 7:14 AM",,Vetusta FC,2600100
30,Rodrygo Goes,"€4,847,100","12/15/19, 3:15 PM",Vetusta FC,,4847100
31,Carlos Neva,"€748,600","12/15/19, 1:23 PM",Thomas Party,,748600
32,Renan Lodi,"€3,468,400","12/15/19, 10:31 AM",Camping Ballena Alegre,,3468400
33,Rodrigo,"€8,975,060","12/15/19, 7:10 AM",,FC Datalona,8975060
34,Joaquín,"€5,650,010","12/15/19, 7:10 AM",,Vetusta FC,5650010
35,Vinícius,"€1,954,430","12/15/19, 7:10 AM",,Santa Bàrbara,1954430
36,Reguilón,"€6,131,550","12/15/19, 7:10 AM",,Santa Bàrbara,6131550
37,Rubén Duarte,"€2,180,000","12/15/19, 7:10 AM",,Vetusta FC,2180000
38,Aleña,"€410,000","12/14/19, 10:33 AM",Santa Bàrbara,Thomas Party,410000
39,Diego Llorente,"€2,320,000","12/14/19, 7:13 AM",,Thomas Party,2320000
40,Aleña,"€350,020","12/14/19, 7:13 AM",,Santa Bàrbara,350020
41,Kondogbia,"€1,340,040","12/14/19, 7:13 AM",,Santa Bàrbara,1340040
42,Franco Vázquez,"€3,470,050","12/14/19, 7:13 AM",,Santa Bàrbara,3470050
